vm	ir	sag	tau	resf	resmag	spkthr	spkmax	spkhlf	rheo	ahp	fi	dvloc	mlpos	hemi	age	id	housing	expr	patchdir	totalcells	rectime
-64.78385243	23.69295651	0.568896826	8.618001497	12.3	1.697672316	-35.278125	41.38062515	0.4	399.75	-52.37812424	0.103013378	496	NA	NA	35	mouse_20130416	Standard	HP	NA	15	0.646527778
-64.30273297	23.66905472	0.550073138	11.10087858	10.9	1.846180265	-35.70374985	38.60562515	0.4	392.25	-51.20000076	0.10771622	562	NA	NA	35	mouse_20130416	Standard	HP	NA	15	0.654861111
-62.20729756	24.97138991	0.609570703	9.502180978	10.7	1.880121271	-34.78875046	39.834375	0.4	318	-51.52500153	0.079438089	627	NA	NA	35	mouse_20130416	Standard	HP	NA	15	0.663194444
-68.21520655	22.19715777	0.538705423	8.06155181	10.75	2.174961398	-33.86624985	36.165625	0.42	462.75	-50.96875	0.088064343	624	NA	NA	35	mouse_20130416	Standard	HP	NA	15	0.669444444
-65.43957015	21.46753904	0.562021259	9.492724524	10.35	1.996456714	-36.24812469	37.46812515	0.4	386.875	-52.02187347	0.132609594	632	NA	NA	35	mouse_20130416	Standard	HP	NA	15	0.677083333
-64.75707364	22.91282357	0.608051578	6.607893787	10.5	1.719744526	-37.01437454	39.65062485	0.43	411.75	-50.61562347	0.13240553	730	NA	NA	35	mouse_20130416	Standard	HP	NA	15	0.685416667
-64.5418226	27.76646917	0.623275877	7.02946441	11.3	1.978757961	-37.17125092	43.36312561	0.39	375.375	-50.67499924	0.113101529	768	NA	NA	35	mouse_20130416	Standard	HP	NA	15	0.694444444
-64.38645467	23.02842293	0.567593748	6.46865391	10.65	1.716328363	-36.95750046	40.13187561	0.4	470.75	-52.40625	0.08061061	438	NA	NA	35	mouse_20130416	Standard	HP	NA	15	0.710416667
-62.51320065	25.97229437	0.580690229	6.790720622	12.6	2.191602469	-34.91687622	43.56624985	0.41	407.625	-50.51874924	0.077078849	438	NA	NA	35	mouse_20130416	Standard	HP	NA	15	0.716666667
-63.2214106	23.41884012	0.543407782	6.627807746	10.9	1.901011725	-33.94437485	41.98874969	0.39	392	-49.94374847	0.093111223	498	NA	NA	35	mouse_20130416	Standard	HP	NA	15	0.722916667
-64.5455799	22.56092689	0.562790401	8.576400069	10.15	1.958154404	-37.05249939	41.61687546	0.4	412	-51.71250153	0.071635109	299	NA	NA	35	mouse_20130416	Standard	HP	NA	15	0.736111111
-64.11924697	22.23302036	0.565329608	6.578655957	11.25	1.952364917	-36.78125076	41.95124969	0.38	433	-51.31874847	0.099050228	339	NA	NA	35	mouse_20130416	Standard	HP	NA	15	0.743055556
-62.83825638	25.44655502	0.587184223	6.086077892	14.05	2.200489241	-35.32187424	44.34625015	0.35	352.5	-51.90625	0.092834097	451	NA	NA	35	mouse_20130416	Standard	HP	NA	15	0.749305556
-64.74793522	25.20717796	0.560314099	8.7502413	11.85	1.898946804	-31.98499947	36.40125046	0.39	374.375	-51.02187347	0.083244011	579	NA	NA	35	mouse_20130416	Standard	HP	NA	15	0.763194444
-65.13259959	23.82351981	0.572456237	8.639117114	11.95	1.699872115	-32.43374939	36.99187469	0.4	420.75	-50.49375153	0.063494907	598	NA	NA	35	mouse_20130416	Standard	HP	NA	15	0.770138889
-66.23028151	39.48410239	0.636993009	32.54969051	6.85	1.462364459	-41.47312546	46.27249908	0.38	208.375	-59.75	0.100485529	1992	NA	NA	34	mouse_20130418	Standard	HP	NA	11	0.55625
