property,gradient_slopes,modelslope_min,modelslope_max,anova_p_val,marginal.r2,conditional.r2,pdiff
vm,-0.8841566859653033,-1.9646432229065902,0.14950435607501522,2.7475545749439598e-5,0.04576220022791529,0.3477871784407201,5.091531792583676e-35
ir,11.793932268921086,9.629419498697342,14.262212493838302,7.00272298180286e-18,0.38328148878397833,0.5320547630678402,1.804704636796291e-40
sag,0.03273213209603999,0.016341149817743733,0.043160604749787536,2.2775502360865816e-10,0.12111471649136268,0.3470100437304707,9.531449529311364e-39
tau,2.6458169710501194,1.809452166398978,3.97862614560278,9.24518493254273e-13,0.19245458862821235,0.34299056130612354,8.966303813932967e-30
resf,-1.3341208837872511,-2.298775428083823,-0.3423897792452817,2.064127499685394e-9,0.12226701057297515,0.5525278272109944,1.06145769036579e-65
resmag,-0.11424901230108565,-0.13808352696063758,-0.08720320377251961,3.7013491378983044e-8,0.06364374153036906,0.19846455838373028,7.607574065066781e-20
spkthr,0.08230213336091749,-2.4677192259024614,2.3797401021211515,0.820012414742733,1.4805549623362994e-4,0.5097095417978985,2.033643033164988e-17
spkmax,1.899653547159837,-1.287504355610564,3.2970983625533448,1.2326878991696004e-5,0.06419830136222433,0.43648422399496023,2.854567735694914e-51
spkhlf,0.016725285495429308,-0.020623723995061967,0.05532151370188761,0.017663613721565847,0.009655000639117376,0.6427184761562944,5.870619677477911e-140
rheo,-119.88451579059884,-153.87359363969512,-76.12568326236998,1.5139623378404408e-15,0.38176511080508907,0.6521845856609149,2.1838057478652056e-43
ahp,-0.6447607889275416,-1.827955391564243,0.40840838400378476,0.016186290906628438,0.011451906233063231,0.2571246511456862,1.6649593089083695e-17
fi,0.03636347170611604,0.018752180109911688,0.08724847086558352,2.526068761081556e-10,0.2281723225218577,0.5608688034906564,4.548404416447695e-34
